%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
295.078,82433.373,0.973,30.074,440.094,516.856,6.352,-15.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.042,-1.297,303.409,81.603,-175.323,-273.771,-338.101,-381.975,-415.412,-393.322,-489.240,-468.497,-467.674,-460.227,-463.465,-480.953,-482.309
294.968,82374.802,0.973,30.178,442.995,519.861,6.349,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,88.700,277.280,56.758,-192.553,-279.643,-336.959,-368.408,-393.784,-356.808,-476.934,-469.018,-467.455,-453.703,-458.932,-465.398,-464.249
294.968,82374.802,0.973,30.178,442.995,519.861,6.349,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,59.133,259.746,31.485,-219.494,-307.068,-366.865,-408.251,-431.685,-386.729,-546.050,-471.549,-472.555,-472.943,-471.683,-491.518,-495.897
295.177,82251.592,0.971,30.225,443.384,519.509,6.350,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,37.798,255.614,29.557,-217.510,-301.237,-355.443,-395.540,-428.795,-384.607,-485.169,-488.534,-472.130,-443.874,-425.486,-428.913,-430.799
295.108,82445.707,0.973,30.177,443.138,517.106,6.333,-14.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.042,78.086,263.543,31.163,-223.461,-305.772,-356.066,-388.917,-416.910,-394.209,-431.273,-420.280,-450.882,-428.817,-442.209,-427.151,-415.369
295.008,82266.057,0.971,30.212,443.344,516.523,6.352,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,90.650,253.716,25.702,-224.088,-312.791,-367.280,-396.928,-408.988,-366.521,-483.188,-467.752,-479.248,-484.863,-485.792,-500.433,-493.307
295.007,82394.046,0.973,30.185,443.241,518.710,6.337,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,42.130,266.893,39.624,-211.766,-301.670,-362.400,-404.192,-435.326,-396.330,-537.085,-475.136,-461.718,-473.675,-465.621,-481.050,-498.150
294.976,82376.933,0.973,30.193,443.447,519.639,6.348,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,31.516,277.725,47.763,-201.324,-282.343,-335.402,-377.274,-422.585,-396.776,-491.215,-536.744,-489.235,-475.243,-456.423,-448.503,-447.355
294.998,82288.013,0.972,30.218,443.644,517.511,6.344,-14.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.043,48.736,280.294,56.437,-195.999,-288.389,-342.255,-379.090,-411.450,-398.228,-490.173,-525.245,-495.503,-469.597,-478.058,-464.984,-458.843
295.105,82442.671,0.973,30.205,443.963,521.032,6.336,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,49.928,252.599,23.346,-226.803,-313.870,-365.411,-401.201,-424.619,-392.651,-469.011,-448.658,-462.250,-452.867,-437.297,-426.840,-413.229
295.048,82254.046,0.971,30.247,444.243,522.495,6.341,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.043,86.317,258.964,31.163,-221.373,-311.171,-367.073,-403.444,-424.191,-373.560,-445.976,-430.619,-447.057,-457.363,-463.530,-468.922,-469.430
295.003,82393.013,0.973,30.212,444.038,517.229,6.326,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,70.072,259.299,31.485,-214.272,-298.970,-353.989,-391.053,-420.015,-387.515,-471.412,-453.306,-436.858,-426.935,-439.283,-442.284,-448.368
294.969,82371.767,0.973,30.200,443.611,516.163,6.340,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.043,58.809,256.061,25.059,-222.626,-305.449,-358.246,-399.065,-427.938,-388.520,-470.891,-500.672,-457.474,-444.920,-449.943,-447.777,-453.887
294.845,82320.042,0.973,30.213,443.923,515.580,6.342,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,64.873,261.198,29.664,-223.775,-311.387,-364.373,-401.308,-428.259,-393.879,-480.795,-489.912,-454.818,-449.353,-439.074,-437.516,-439.020
295.096,82441.832,0.973,30.173,443.032,515.078,6.337,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,72.346,267.898,39.088,-216.674,-306.312,-355.962,-384.004,-409.202,-390.195,-490.594,-471.029,-479.466,-486.887,-477.469,-482.293,-480.580
