type,latitude,longitude,altitude
T,40.0102,-105.2437,1592.20
T,40.0102,-105.2437,1592.20
T,40.0102,-105.2437,1592.20
T,40.0103,-105.2436,1592.20
T,40.0103,-105.2436,1592.60
T,40.0103,-105.2436,1592.60
T,40.0103,-105.2435,1592.60
T,40.0103,-105.2435,1592.50
T,40.0103,-105.2434,1592.50
T,40.0103,-105.2434,1592.50
T,40.0103,-105.2434,1592.50
T,40.0103,-105.2434,1592.50
T,40.0103,-105.2434,1592.50
T,40.0103,-105.2433,1592.50
T,40.0103,-105.2433,1592.50
T,40.0103,-105.2433,1592.50
T,40.0103,-105.2433,1592.50
T,40.0103,-105.2433,1592.50
T,40.0103,-105.2432,1592.50
T,40.0103,-105.2431,1592.50
T,40.0103,-105.2431,1592.50
T,40.0103,-105.2431,1592.50
T,40.0103,-105.2430,1592.50
T,40.0103,-105.2430,1592.50
T,40.0103,-105.2429,1592.50
T,40.0103,-105.2429,1592.50
T,40.0103,-105.2429,1592.50
T,40.0103,-105.2429,1592.40
T,40.0103,-105.2429,1592.40
T,40.0103,-105.2430,1592.40
T,40.0103,-105.2430,1592.40
T,40.0102,-105.2430,1592.40
T,40.0102,-105.2430,1592.30
T,40.0102,-105.2430,1592.30
T,40.0102,-105.2430,1592.30
T,40.0102,-105.2430,1592.30
T,40.0102,-105.2430,1592.20
T,40.0102,-105.2430,1592.20
T,40.0102,-105.2430,1592.20
T,40.0101,-105.2431,1592.20
T,40.0101,-105.2431,1592.10
T,40.0101,-105.2431,1592.10
T,40.0101,-105.2431,1592.10
T,40.0101,-105.2431,1592.00
T,40.0100,-105.2431,1592.00
T,40.0100,-105.2431,1592.00
T,40.0100,-105.2431,1592.00
T,40.0100,-105.2431,1591.90
T,40.0100,-105.2431,1591.90
T,40.0100,-105.2431,1591.50
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.00
T,40.0100,-105.2431,1591.00
T,40.0100,-105.2431,1591.00
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2431,1591.20
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.00
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.10
T,40.0100,-105.2432,1591.10
T,40.0100,-105.2432,1591.10
T,40.0100,-105.2432,1591.10
T,40.0100,-105.2432,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.00
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2431,1591.10
T,40.0100,-105.2432,1591.10
T,40.0100,-105.2432,1591.10
T,40.0100,-105.2432,1591.20
T,40.0100,-105.2432,1591.30
T,40.0100,-105.2432,1591.40
T,40.0100,-105.2432,1591.40
T,40.0101,-105.2433,1591.90
T,40.0101,-105.2433,1591.70
T,40.0101,-105.2433,1591.50
T,40.0101,-105.2433,1591.30
T,40.0101,-105.2433,1591.20
T,40.0101,-105.2433,1591.10
T,40.0101,-105.2433,1591.00
T,40.0101,-105.2433,1590.90
T,40.0101,-105.2433,1590.80
T,40.0101,-105.2433,1590.80
T,40.0101,-105.2433,1590.70
T,40.0101,-105.2434,1590.50
T,40.0101,-105.2434,1590.40
T,40.0101,-105.2434,1590.30
T,40.0101,-105.2434,1590.30
T,40.0101,-105.2434,1590.20
T,40.0101,-105.2434,1590.10
T,40.0101,-105.2434,1590.00
T,40.0101,-105.2433,1589.90
T,40.0101,-105.2433,1589.80
T,40.0101,-105.2433,1589.70
T,40.0101,-105.2433,1589.70
T,40.0101,-105.2433,1589.70
T,40.0101,-105.2433,1589.70
T,40.0101,-105.2433,1589.70
T,40.0101,-105.2433,1589.70
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.70
T,40.0102,-105.2434,1589.80
T,40.0102,-105.2433,1589.30
T,40.0102,-105.2432,1589.30
T,40.0102,-105.2432,1589.20
T,40.0102,-105.2431,1589.20
T,40.0102,-105.2431,1589.20
T,40.0102,-105.2430,1589.10
T,40.0102,-105.2430,1589.10
T,40.0102,-105.2429,1589.10
T,40.0102,-105.2429,1589.20
T,40.0102,-105.2428,1589.20
T,40.0102,-105.2428,1589.20
T,40.0101,-105.2428,1589.30
T,40.0101,-105.2427,1589.30
T,40.0101,-105.2427,1589.30
T,40.0101,-105.2427,1589.40
T,40.0101,-105.2427,1589.40
T,40.0100,-105.2427,1589.40
T,40.0100,-105.2427,1589.40
T,40.0100,-105.2428,1589.40
T,40.0100,-105.2428,1589.40
T,40.0100,-105.2428,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2427,1589.50
T,40.0099,-105.2427,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2428,1589.50
T,40.0099,-105.2429,1589.50
T,40.0099,-105.2429,1589.50
T,40.0099,-105.2429,1589.40
T,40.0099,-105.2429,1589.30
T,40.0099,-105.2429,1589.30
T,40.0099,-105.2429,1589.20
T,40.0099,-105.2430,1589.30
T,40.0099,-105.2430,1589.40
T,40.0100,-105.2430,1589.40
T,40.0100,-105.2430,1589.40
T,40.0100,-105.2431,1589.40
T,40.0100,-105.2431,1589.40
T,40.0100,-105.2431,1589.00
T,40.0100,-105.2431,1589.40
T,40.0100,-105.2431,1589.40
T,40.0100,-105.2431,1589.00
T,40.0100,-105.2431,1589.00
T,40.0100,-105.2431,1589.50
