#
# This text file contains four columns:
#  [1] the name of an exoplanet
#  [2] planet's radius, in Earth radii
#  [3] star's radius, in solar radii
#  [4] energy flux the planet receives from its star,
#       (relative to what Earth receives from the Sun)
#
HATS-25b,          14.12,  1.11, 4.42e+02
HATS-26b,          19.62,  2.04, 2.26e+03
HATS-27b,          16.81,  1.74, 1.26e+03
HATS-28b,          13.38,  0.92, 4.11e+02
HATS-29b,          14.02,  1.07, 3.59e+02
HATS-2b,           13.09,  0.90, 1.03e+03
HATS-30b,          13.17,  1.06, 6.68e+02
HATS-3b,           15.48,  1.40, 1.23e+03
HATS-4b,           11.43,  0.93, 5.00e+02
HATS-5b,           10.22,  0.87, 1.84e+02
HATS-6b,           11.19,  0.57, 4.30e+01
HATS-8b,            9.79,  1.09, 5.11e+02
HATS-9b,           11.94,  1.50, 1.82e+03
HD 149026b,         9.11,  1.54, 1.66e+03
HD 17156b,         11.43,  1.44, 9.96e+01
HD 3167b,           1.56,  0.83, 1.67e+03
HD 3167c,           2.85,  0.83, 1.95e+01
HD 80606b,         10.98,  0.98, 4.37e+00
HD 97658b,          2.25,  0.74, 4.32e+01
HIP 116454b,        2.53,  0.72, 3.77e+01
HIP 41378b,         2.90,  1.40, 1.62e+02
HIP 41378c,         2.56,  1.40, 1.15e+01
HIP 41378d,         3.96,  1.40, 7.39e+00
HIP 41378e,         5.51,  1.40, 9.32e+00
HIP 41378f,        10.20,  1.40, 2.79e+00
K2-10b,             3.84,  0.98, 5.05e+01
K2-11b,             7.55,  5.15, 1.79e+01
K2-12b,             2.33,  1.01, 1.55e+02
K2-13b,             1.89,  0.78, 6.92e+00
K2-14b,             4.81,  0.45, 9.44e+00
K2-15b,             2.48,  0.68, 3.47e+01
K2-16b,             2.02,  0.66, 5.84e+01
K2-16c,             2.54,  0.66, 4.05e+01
K2-17b,             2.23,  0.66, 9.36e+00
K2-18b,             2.24,  0.39, 8.93e-01
K2-19b,             7.74,  0.86, 1.06e+02
K2-19c,             4.86,  0.86, 1.11e+02
K2-19d,             1.14,  0.86, 5.91e+02
K2-21b,             1.59,  0.60, 2.10e+01
K2-21c,             1.92,  0.60, 6.62e+00
K2-22b,             2.50,  0.57, 8.23e+02
K2-24b,             5.83,  1.21, 6.81e+01
K2-24c,             8.10,  1.21, 2.28e+01
K2-25b,             3.43,  0.29, 8.74e+00
