*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2453601.500000000, A.D. 2005-Aug-19 00:00:00.0000,  1.255817755037269E+08, -8.455760034728633E+07,  1.344379518128932E+03,  1.614302988226559E+01,  2.458943320232495E+01, -9.340443068133197E-04,
2453603.500000000, A.D. 2005-Aug-21 00:00:00.0000,  1.282994997099044E+08, -8.026137934992269E+07,  1.143920155398548E+03,  1.530922026017284E+01,  2.513122990187736E+01, -1.347611387148007E-03,
2453605.500000000, A.D. 2005-Aug-23 00:00:00.0000,  1.308716114970477E+08, -7.587367660701790E+07,  8.943773668706417E+02,  1.445752466741457E+01,  2.564816554627894E+01, -1.492299568202071E-03,
2453607.500000000, A.D. 2005-Aug-25 00:00:00.0000,  1.332949418552825E+08, -7.139886615620153E+07,  6.439460227973759E+02,  1.358713746137973E+01,  2.613916403807106E+01, -1.365834532000676E-03,
2453609.500000000, A.D. 2005-Aug-27 00:00:00.0000,  1.355662473199566E+08, -6.684157349358974E+07,  4.337998126819730E+02,  1.269804373068812E+01,  2.660252703675491E+01, -1.040877029824472E-03,
2453611.500000000, A.D. 2005-Aug-29 00:00:00.0000,  1.376823473108065E+08, -6.220672154834017E+07,  2.904848628006876E+02,  1.179093328437009E+01,  2.703658007546238E+01, -6.067662256494799E-04,
2453613.500000000, A.D. 2005-Aug-31 00:00:00.0000,  1.396402177521000E+08, -5.749950352315237E+07,  2.256983679048717E+02,  1.086688308502768E+01,  2.743987359080368E+01, -1.446248933856253E-04,
2453615.500000000, A.D. 2005-Sep-02 00:00:00.0000,  1.414370405682379E+08, -5.272534590865333E+07,  2.379531077593565E+02,  9.927187647759681E+00,  2.781114616408925E+01,  2.734377946200794E-04,
2453617.500000000, A.D. 2005-Sep-04 00:00:00.0000,  1.430702381388238E+08, -4.788988018016931E+07,  3.138533800728619E+02,  8.973338833843085E+00,  2.814928640606546E+01,  5.816334113237787E-04,
2453619.500000000, A.D. 2005-Sep-06 00:00:00.0000,  1.445375093187207E+08, -4.299891464586433E+07,  4.293575675282627E+02,  8.007046389058022E+00,  2.845337140426800E+01,  7.236206949716717E-04,
2453621.500000000, A.D. 2005-Sep-08 00:00:00.0000,  1.458368663560561E+08, -3.805839439911266E+07,  5.521037740912288E+02,  7.030219880774811E+00,  2.872275754923269E+01,  6.611196526673524E-04,
2453623.500000000, A.D. 2005-Sep-10 00:00:00.0000,  1.469666638516646E+08, -3.307434464573440E+07,  6.454139469452202E+02,  6.044896489300268E+00,  2.895717644011010E+01,  3.841773328883136E-04,
2453625.500000000, A.D. 2005-Sep-12 00:00:00.0000,  1.479256113823500E+08, -2.805279788904235E+07,  6.741177154313773E+02,  5.053122508043487E+00,  2.915682855410991E+01, -7.776342811638415E-05,
2453627.500000000, A.D. 2005-Sep-14 00:00:00.0000,  1.487127582767591E+08, -2.299970447473279E+07,  6.124862849824131E+02,  4.056732400141690E+00,  2.932247556918070E+01, -6.427333340184305E-04,
2453629.500000000, A.D. 2005-Sep-16 00:00:00.0000,  1.493274240481783E+08, -1.792083629168959E+07,  4.539669614601880E+02,  3.056936216925863E+00,  2.945538181287133E+01, -1.172494670260704E-03,
2453631.500000000, A.D. 2005-Sep-18 00:00:00.0000,  1.497690514459233E+08, -1.282173667963612E+07,  2.184602403845638E+02,  2.053915218039269E+00,  2.955679530921223E+01, -1.510272896883436E-03,
2453633.500000000, A.D. 2005-Sep-20 00:00:00.0000,  1.500370353871569E+08, -7.707797504869039E+06, -5.129042235761881E+01,  1.047050526244970E+00,  2.962709472697896E+01, -1.562369349580095E-03,
